,,,,,,,,,,,,,,,,,,,,
,,Final Perfumes Prices and Category List,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Sr. #,Perfume Oil,Brand,Supplier,Category,Season,Time,Notes Details,,,Price of 100 Gram Oil,"Attar Price 
(1 Tola)","Box Price 
(1 Tola)","Bottle Price
(1 Tola)",PrintingCost,Flyer Cost,Delivery Charges,"Total Cost 
(1 Tola)",Selling Price
,,,,,,,,,Top Note,Heart Note,Base Notes,,,,,,,,,
,,  17 ,TAREEKH BY J.,J.,Hussaini,Unisex,Winter & Autumn,Evening / Night,Oudh (Agarwood) and Amber,Woody Notes and Warm Spices,Rose and Sandalwood,3600,432,150,120,2,10,250,964,1464
,,  18 ,POLO BLACK BY RALPH LAUREN, RALPH LAUREN,TRS Chem,Men,All Seasons,Day Time,"Iced Mango, Tangerine, and Lemon",Silver Armoise (Wormwood) and Spanish Sage,"Patchouli Noir, Sandalwood, and Tonka Bean",3520,422.4,150,120,2,10,250,954.4,1454.4
,,  19 ,9 PM BY AFNAN,AFNAN,Farhan,Men,Winter & Autumn,Evening / Night,"Apple, Cinnamon, Wild Lavender, Bergamot (Crips & Fruity Spicy)","Orange Blossam, Lily-of-the-Valley (Smooth & Floral)","Vanilla, Tonka Bean, Amber, Patchouli (Sweet, Creemy & Warm)",3500,420,150,120,2,10,250,952,1452
,,  20 ,BLUE SAPPHIRE BY BOADICEA THE VICTORIA,BOADICEA THE VICTORIA,Farhan,Unisex,Winter & Autumn,Weddings,"Lemon, Orange, Sage, and Saffron (A bright, ""cold"" opening)","Rose, Jasmine, and Cardamom (Sophisticated floral spice)","Oud (Agarwood), Amber, and Patchouli (A deep, dark, woody foundation)",3500,420,150,120,2,10,250,952,1452
,,  21 ,IMAGINATION BY LOUIS VUITTON,LOUIS VUITTON,Farhan,Men,All Seasons,Day Time,"Citron, Calabrian Bergamot, and Sicilian Orange","Tunisian Neroli, Nigerian Ginger, and Ceylon Cinnamon","Chinese Black Tea, Ambroxan, Guaiac Wood, and Olibanum (Incense)",3500,420,150,120,2,10,250,952,1452
,,  22 ,LES SABLES ROSES BY LOUIS VUITTON,LOUIS VUITTON,TRS Chem,Unisex,All Seasons,Day Time,Spiced Rose & Saffron,Dark Rose & Smoky Oud,Salty Amber & Soft Wood,3500,420,150,120,2,10,250,952,1452
,,  23 ,SILVER SHADE BY AJMAL,AJMAL,Hussaini,Unisex,Spring & Summer,Day Time,"Lime, Bergamot, Lemon, Blackcurrant, Violet Leaf, and Plum","Iris, Rose, and Jasmine","White Musk, Ambergris, Sandalwood, Cedar, Tonka Bean, and Civet",3500,420,150,120,2,10,250,952,1452
,,  24 ,VOILET MUSK BY AJMAL,AJMAL,Hussaini,Unisex,Spring & Summer,Day Time,"Musk, Lily-of-the-Valley, Ylang-Ylang, and Rose",Violet,Amber and Musk,3500,420,150,120,2,10,250,952,1452
,,  25 ,ESSENTIAL BY LACOSTE,LACOSTE,TRS Chem,Men,Spring & Summer,Day Time,"Tomato Leaf, Tangerine, Bergamot, and Cassia",Rose and Pepper,Sandalwood and Patchouli,3420,410.4,150,120,2,10,250,942.4,1442.4
,,  26 ,"""K"" BY DOLCE & GABBANA (D&G)",D&G,Farhan,Men,Spring & Summer,Day Time,"Blood Orange, Sicilian Lemon, Juniper Berries, and Citruses","Pimento (Chili Pepper), Clary Sage, Geranium, and Lavender","Cedar, Vetiver, and Patchouli",3400,408,150,120,2,10,250,940,1440
,,  27 ,ACQUA DI GIO PROFONDO ELIXIR BY ARMANI,GIORGIO ARMANI,TRS Chem,Men,Spring & Summer,DAY & NIGHT,"Bergamot, Sea Notes (Very Flash & Salty)","Rosemary, Sage, Geranium (Aromatic & Herbal)","Patchouli, Incense, Labdanum (Smoky, Earthy & Deep)",3400,408,150,120,2,10,250,940,1440
,,  28 ,AFTERNOON SWIM BY LOUIS VUITTON,LOUIS VUITTON,Hussaini,Unisex,Summer (in Heat & Humid),Day Time,"Sicilian Orange, Bergamot and Mandarin Orange","Ambergris (Provides a salty, skin-like warmth and Ginger)",Nil,3400,408,150,120,2,10,250,940,1440
,,  29 ,FAHRENHEIT BY DIOR , DIOR ,Farhan,Men,Winter & Autumn,Evening / Night,"Lavender, Mandarin Orange, Hawthorn, Nutmeg Flower, Cedar, Bergamot, Chamomile, and Lemon","Nutmeg, Honeysuckle, Carnation, Sandalwood, Violet Leaf, Jasmine, Lily-of-the-Valley, and Cedar","Leather, Tonka Bean, Amber, Patchouli, Musk, and Vetiver.",3400,408,150,120,2,10,250,940,1440
,,  30 ,IMPERIAL VALEEY BY GISSAH,GISSAH,Sensula,Unisex,All Seasons,DAY & NIGHT,"Sicilian Bergamot, Davana, and Pink Pepper","Agarwood (Oud), White Amber, and Rosemary","Leather, Musk, and Haitian Vetiver",3400,408,150,120,2,10,250,940,1440
,,  31 ,MUSK-E-SHAHEER BY J.,J.,Hussaini,Unisex,All Seasons,DAY & NIGHT,"Fresh Citrus, Dewy Florals, and Sparkling Green Notes","Powdery Rose, Jasmine, and Lily of the Valley","Pure White Musk, Amber, Sandalwood, and Vanilla",3400,408,150,120,2,10,250,940,1440
,,  32 ,MUSK SILK {AJMAL},AJMAL,Hussaini,Unisex,All Seasons,Day Time,Lily of the Valley,Musk,Musk and Amber,3400,408,150,120,2,10,250,940,1440
,,  33 ,SILK MUSK BY AJMAL,AJMAL,Farhan,Unisex,Spring & Summer,Day Time,Lily-of-the-Valley and Fresh Musk,Royal White Musk and Powdery Accords,"Vanilla, White Amber, and Soft Woods",3400,408,150,120,2,10,250,940,1440
,,  34 ,AZZARO CHROME EXTREME BY AZZARO,AZZARO,Farhan,Men,Spring & Summer,Day Time,Green Mandarin (very tart and zesty),"Juniper Berries, Sea Notes (salty and ""blue"")","Amber, Cashmeran (provides a warm, fuzzy skin scent)",3300,396,150,120,2,10,250,928,1428
,,  35 ,HACIVAT BY NISHANE,NISHANE,Hussaini,Unisex,All Seasons,DAY & NIGHT,"Pineapple, Bergamot, and Grapefruit.","Cedarwood, Patchouli, and Jasmine",Oakmoss and Dry Timberwood,3200,384,150,120,2,10,250,916,1416
,,  36 ,OUD SATIN MOOD BY MAISON FRANCIS KURKDJIAN,MAISON FRANCIS KURKDJIAN,Sensula,Unisex,Winter & Autumn,Evening / Night,Violet and Geranium,Bulgarian Rose and Turkish Rose,"Laotian Oud, Vanilla, Benzoin, and Amber",3200,384,150,120,2,10,250,916,1416
,,  37 ,ROSE OUD BY KILIAN PARIS,KILIAN,Sensula,Unisex,"Spring, Winter &  Autumn",Evening / Night,"Bulgarian Rose, Saffron, and Cinnamon",Tincture of Rose and Litchi,"Agarwood (Oud), Guaiac Wood, Cedar, and Leather",3200,384,150,120,2,10,250,916,1416
,,  38 ,SPICEBOMB BY VIKTOR & ROLF,VIKTOR & ROLF,Farhan,Men,Winter & Autumn,Evening / Night,"Pink Pepper, Elemi, Bergamot, and Grapefruit","Cinnamon, Saffron, and Paprika",,3200,384,150,120,2,10,250,916,1416
,,  39 ,GREEN IRISH TWEED BY CREED,CREED,TRS Chem,Men,Spring & Summer,Day Time,Lemon Verbena and Iris,Violet Leaf,Ambergris and Mysore Sandalwood,3150,378,150,120,2,10,250,910,1410
,,  40 ,MEGAMARE BY ORTO PARISi,ORTO PARISi,TRS Chem,Unisex,Spring & Summer (Hi Heat),DAY & NIGHT,"Sea Water, Bergamot, and Lemon","Seaweed, Calone, and Hedione","Ambroxan, Musk, Cedar, and Labdanum",3100,372,150,120,2,10,250,904,1404
,,  41 ,OMBRE LEATHER BY TOM FORD,TOM FORD,TRS Chem,Unisex,Winter & Autumn,Evening / Night,Cardamom,Leather and Jasmine Sambac,"Amber, Moss, and Patchouli",3100,372,150,120,2,10,250,904,1404
,,  42 ,PURE MUSK BY CREATION LAMIS, CREATION LAMIS,TRS Chem,Men,Winter & Autumn,Evening / Night,"Basil, Rosemary, Green Mint, and Lemon","Coriander, Juniper, and Wormwood (Armoise)","Patchouli, Oakmoss, Pine Needles, and Cedarwood",3100,372,150,120,2,10,250,904,1404
,,  43 ,1 MILLION ELIXER BY PACO RABANNE,PACO RABANNE,Hussaini,Men,Winter & Autumn,Evening / Night,"Apple & Davana (A sweet, Herbal, Tea-Like Scent)","Damask Rose, Osmanthus, and Cederwood","Vanilla Absolute, Tonka Been, Patchouli",3000,360,150,120,2,10,250,892,1392
,,  44 ,1 MILLION LUCKY BY PACO RABANNE,PACO RABANNE,Hussaini,Men,"Spring, Winter &  Autumn",DAY & NIGHT,"Plum, Ozonic Notes, Grapefruit, Bergamot","Hazelnut, Honey, Cedar, Cashmere Wood, Jasmine","Amberwood, Patchouli, Oakmoss, Vetiver",3000,360,150,120,2,10,250,892,1392
,,  45 ,212 HEROES BY CAROLINA HARARE,CAROLINA HARARE,Hussaini,Men,Spring & Summer,Day Time,"Pear, Fresh Ginger, Cannabis","Geranium, Sage","Musk, Leather",3000,360,150,120,2,10,250,892,1392
,,  46 ,BLACK OUD BY AL HARAMAIN,AL HARAMAIN,TRS Chem,Unisex,Winter & Autumn,Evening / Night,"Musk, Sage, Citrus (mostly to provide a sharp opening)","Agarwood (Oud), Patchouli, Balsamic notes","Leather, Oakmoss, Sandalwood, Amber",3000,360,150,120,2,10,250,892,1392
,,  47 ,BOSS IN OFFICE,,Hussaini,Men,,Day Time,,,,3000,360,150,120,2,10,250,892,1392
,,  48 ,FUCKING FABULOUS BY TOM FORD,TOM FORD,Hussaini,Unisex,Winter & Autumn,Evening / Night,"Clary Sage and Lavender. (A sharp, aromatic, and slightly herbal opening)","Bitter Almond, Vanilla, and Orris. ","Leather, Tonka Bean, Cashmeran, and Amber",3000,360,150,120,2,10,250,892,1392
,,  49 ,HIJR E ASWAD {B},,Hussaini,Unisex,All Seasons,DAY & NIGHT,Black Musk and Saffron,Incense (Bakhour) and Rose,"Amber, Agarwood (Oud), and Sandalwood",3000,360,150,120,2,10,250,892,1392
